name,replicate,temperature,Particle ID,Area (ABD),Aspect Ratio,Average Blue,Average Green,Average Red,Circle Fit,Circularity (Hu),Compactness,Diameter (ABD),Diameter (ESD),Elongation,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Intensity,Length,Perimeter,Roughness,Sigma Intensity,Sum Intensity,Transparency,Volume (ABD),Width,datasetID
cl,5,20,38,23.54,0.93,150.4,140.85,135.39,0.93,1,1.03,5.47,6.38,1,1,6.8,6.8,140.34,6.8,27.19,1.41,6.3,22876,0.14,85.89147,5.8,cl-5-20
cl,5,20,39,31.7,0.98,129.88,138.52,143.05,0.95,1,1,6.35,6.6,1,1,6.91,6.91,138.58,6.8,27.65,1.05,30.47,27854,0.04,134.2906,6.27,cl-5-20
cl,5,20,40,30.83,0.77,159.26,162.25,155.94,0.85,0.97,1.03,6.27,6.66,1,1,6.96,6.96,159.35,7.73,27.84,1.04,33.24,31392,0.06,128.7626,5.25,cl-5-20
cl,5,20,41,28.87,0.98,133.2,138.24,136.43,0.94,1,1.05,6.06,6.45,1,1,6.88,6.88,136.8,6.8,27.52,1.06,40.19,25719,0.06,116.6906,5.8,cl-5-20
cl,5,20,42,33.91,0.97,125.68,133.28,129.31,0.88,0.99,1.31,6.57,7.48,1.38,0.72,9.44,6.83,129.91,8.49,32.53,1.11,37.71,27412,0.12,148.5417,6.75,cl-5-20
cl,5,20,43,23.12,0.9,125.59,129.4,127.91,0.84,0.98,1.17,5.43,6.14,1,1,6.72,6.72,128.49,6.99,26.87,1.07,35.3,20687,0.12,83.60601,5.25,cl-5-20
cl,5,20,44,34.58,0.57,153.53,146.31,144.82,0.67,0.85,1.19,6.63,7.91,1,1,8.1,8.1,145.72,9.99,32.4,1.28,5.09,31184,0.16,152.9358,4.72,cl-5-20
cl,5,20,45,38.6,0.87,141.47,132.77,127.59,0.89,0.99,1.09,7.01,7.9,1,1,8.13,8.13,132.23,8.79,32.53,1.34,5.52,30677,0.11,180.428,6.91,cl-5-20
cl,5,20,46,22.91,0.49,132.74,111.13,94.89,0.63,0.77,1.26,5.4,6.57,1,1,6.96,6.96,108.21,8.92,27.84,1.06,22.6,17313,0.18,82.47342,3.43,cl-5-20
cl,5,20,47,69.3,0.4,114.1,119.96,122.16,0.31,0.61,1.71,9.39,11.96,3.06,0.33,18.41,6.02,119.62,15.53,48.86,1.12,32.14,43421,0.21,433.9742,6.33,cl-5-20
cl,5,20,48,46.13,0.93,128.94,140.88,138.36,0.94,1,1,7.66,7.95,1,1,7.94,7.94,138.29,8.49,31.75,1.04,33.94,36648,0.04,235.6877,7.44,cl-5-20
cl,5,20,49,20.42,0.63,162.3,162.11,156.2,0.74,0.88,1.37,5.1,6.35,1.74,0.58,9.12,5.26,160.06,7.95,28.76,1.31,15.11,23689,0.2,69.41586,4.2,cl-5-20
cl,5,20,50,38.38,0.89,128.64,140.22,144.35,0.91,0.99,1.01,6.99,7.28,1,1,7.47,7.47,138.87,7.86,29.86,1.04,30.75,32079,0.04,178.8506,6.35,cl-5-20
cl,5,20,51,37.03,0.96,126.83,133.62,128.58,0.95,1,1,6.87,7.12,1,1,7.3,7.3,131.01,7.32,29.21,1.04,32.83,29477,0.04,169.5089,6.66,cl-5-20
cl,5,20,52,46.36,0.97,122.78,135.97,135.61,0.95,1,1.02,7.68,7.96,1,1,8.05,8.05,134.35,8.22,32.21,1.05,35.81,35736,0.03,237.4574,7.46,cl-5-20
cl,5,20,53,44.29,0.92,144.79,152.39,140.53,0.84,0.97,1.51,7.51,8.57,2.3,0.43,13.45,5.84,147.97,9.26,38.57,1.17,44.6,38029,0.12,221.7287,7.46,cl-5-20
cl,6,20,1,22.28,0.9,151.81,150.11,149.16,0.89,0.99,1.08,5.33,6.25,1,1,6.8,6.8,149.97,6.64,27.19,1.44,10.47,23545,0.15,79.11639,5.74,cl-6-20
cl,6,20,2,25.65,0.89,164.32,164.1,161.57,0.89,0.99,1.12,5.71,6.65,1,1,7.19,7.19,163.33,7.26,28.76,1.4,17.33,28256,0.14,97.71995,6.17,cl-6-20
cl,6,20,3,29.52,0.93,163.15,164.14,154.63,0.93,1,1,6.13,6.4,1,1,6.72,6.72,161.17,6.8,26.87,1.04,18.88,30784,0.04,120.6579,5.8,cl-6-20
cl,6,20,4,29.09,1,158.13,155.67,149.86,0.93,1,1.05,6.09,6.47,1,1,6.91,6.91,154.19,6.8,27.65,1.06,20.42,29141,0.06,118.0067,6.21,cl-6-20
cl,6,20,5,26.93,0.93,153.92,151.1,145.14,0.85,0.98,1.27,5.86,6.7,1,1,7.38,7.38,149.15,7.32,29.54,1.1,23.83,26698,0.13,105.1335,6.09,cl-6-20
cl,6,20,6,24.59,0.93,142.13,143.31,141.57,0.94,1,1,5.6,5.86,1,1,6.25,6.25,142.69,6.28,24.98,1.04,26.41,23972,0.04,91.72258,5.25,cl-6-20
cl,6,20,7,26.29,0.98,138.44,146.09,143.72,0.93,1,1.07,5.79,6.17,1,1,6.72,6.72,143.9,6.42,26.87,1.07,25.85,25327,0.06,101.3974,5.8,cl-6-20
cl,6,20,8,29.52,0.95,141.04,145.92,142.61,0.94,1,1,6.13,6.38,1,1,6.72,6.72,144.39,6.8,26.87,1.04,27.16,27578,0.04,120.6579,5.8,cl-6-20
cl,6,20,9,31.27,0.93,147.25,149.35,142.72,0.94,1,1,6.31,6.57,1,1,6.83,6.83,146.86,6.99,27.33,1.04,25.18,29225,0.04,131.5142,5.88,cl-6-20
cl,6,20,10,30.61,0.97,149.99,144.02,140.22,0.94,1,1.02,6.24,6.54,1,1,6.91,6.91,143.59,6.8,27.65,1.05,18.62,28144,0.04,127.3961,6.27,cl-6-20
cl,6,20,11,29.74,0.99,142.21,138.16,136.58,0.93,1,1.07,6.15,6.54,1,1,7.03,7.03,138.15,6.8,28.11,1.07,17.63,26525,0.06,121.993,6.27,cl-6-20
cl,6,20,12,19.6,0.95,160.69,156.1,146.63,0.93,1,1,5,5.27,1,1,5.86,5.86,153.49,5.58,23.42,1.05,31.69,22102,0.05,65.28536,4.7,cl-6-20
cl,6,20,13,32.14,0.83,140.73,140.07,131.84,0.81,0.96,1.56,6.4,7.42,2.51,0.4,12.46,4.97,137.65,8.55,34.87,1.19,37.71,27943,0.14,137.0917,6.22,cl-6-20
cl,6,20,14,25.01,0.97,137.5,143.16,138.37,0.93,1,1.04,5.64,6.01,1,1,6.52,6.52,140.71,6.35,26.09,1.06,38.45,23921,0.06,94.10169,5.8,cl-6-20
cl,6,20,15,43.37,0.87,157.88,158.2,154.64,0.89,0.99,1.12,7.43,7.95,1,1,8.25,8.25,156.91,8.55,32.99,1.07,19.38,39698,0.06,214.8827,7.13,cl-6-20
cl,6,20,16,25.22,0.92,129.89,138.05,135.86,0.86,0.98,1.29,5.67,6.5,1.25,0.8,8.07,6.47,134.73,7.86,29.08,1.11,35.57,23039,0.13,95.30118,5.62,cl-6-20
cl,6,20,17,36.36,0.74,137.04,128.35,131.61,0.82,0.95,1.05,6.8,7.26,1,1,7.47,7.47,130.04,8.39,29.86,1.05,12.88,28869,0.06,164.9176,5.74,cl-6-20
cl,6,20,18,35.69,0.84,131.91,127.47,128.81,0.8,0.94,1.62,6.74,8.14,2.74,0.37,13.53,4.94,128.37,9.46,36.95,1.17,22.47,28113,0.17,160.3796,6.91,cl-6-20
cl,6,20,19,37.48,0.99,148.52,148.98,146.7,0.95,1,1.03,6.91,7.41,1,1,7.63,7.63,147.78,7.71,30.51,1.22,18.07,33545,0.07,172.5993,6.91,cl-6-20
cl,6,20,20,48.44,0.73,146.75,139.03,133.88,0.71,0.91,1.29,7.85,9.76,1.22,0.82,10.84,8.87,135.69,11.44,39.43,1.4,8.54,37316,0.19,253.6306,7.83,cl-6-20
cl,6,20,21,40.64,0.96,114.81,123,123.67,0.94,1,1.02,7.19,7.51,1,1,7.69,7.69,121.76,7.73,30.78,1.05,38.95,29344,0.04,194.8855,7.05,cl-6-20
cl,6,20,22,25.22,0.88,159.69,148.73,139.77,0.9,0.99,1.07,5.67,6.71,1,1,7.16,7.16,146.98,7.51,28.62,1.43,6.55,25134,0.16,95.30118,5.8,cl-6-20
cl,6,20,23,30.39,0.91,141.7,141.08,136.15,0.91,0.99,1.06,6.22,6.6,1,1,7.04,7.04,139.66,7.05,28.16,1.06,27.24,27234,0.06,126.0359,5.8,cl-6-20
cl,6,20,24,34.13,0.95,147.81,147.68,141.63,0.94,1,1.02,6.59,6.89,1,1,7.19,7.19,145.89,7.18,28.76,1.05,18.12,30928,0.04,150.0004,6.35,cl-6-20
cl,6,20,25,26.72,0.91,125.07,132.08,137.92,0.92,1,1.02,5.83,6.15,1,1,6.6,6.6,131.91,6.52,26.41,1.05,25.53,23480,0.05,103.8816,5.25,cl-6-20
cl,6,20,26,21.87,0.89,138.59,138.68,136.14,0.92,0.99,1,5.28,5.58,1,1,6.05,6.05,137.22,6.03,24.2,1.04,27.56,21269,0.05,76.91247,5.1,cl-6-20
cl,6,20,27,32.8,0.85,123.68,127.04,121.65,0.89,0.98,1.05,6.46,6.83,1,1,7.19,7.19,124.71,7.57,28.76,1.06,33.94,25690,0.05,141.3396,6.17,cl-6-20
cl,6,20,28,23.12,0.95,155.31,155.14,149.18,0.93,1,1.05,5.43,6.88,1,1,7.27,7.27,152.82,7.26,29.08,1.56,5.61,24604,0.21,83.60601,6.35,cl-6-20
cl,6,20,29,35.24,0.89,99.52,108.82,109.89,0.77,0.97,1.49,6.7,7.71,2.22,0.45,12.14,5.46,108.05,8.68,35.2,1.17,37.88,23446,0.13,157.3841,6.66,cl-6-20
cl,6,20,30,33.03,0.88,151.42,147.89,140.17,0.91,0.99,1.02,6.48,6.82,1,1,7.11,7.11,145.32,7.48,28.43,1.05,24.97,30081,0.05,142.7679,5.88,cl-6-20
cl,6,20,31,27.15,0.88,116.07,123.01,124.73,0.84,0.97,1.25,5.88,6.76,1,1,7.35,7.35,122.71,7.48,29.4,1.09,40.27,22087,0.13,106.3919,5.8,cl-6-20
cl,6,20,32,30.39,0.58,148.14,142.14,135.69,0.49,0.57,3.64,6.22,9.04,9.32,0.11,23.56,2.53,140.87,11.37,52.18,1.5,22.33,27470,0.31,126.0359,5.97,cl-6-20
cl,6,20,33,28.65,0.87,125.01,135.32,137.99,0.82,0.97,1.31,6.04,6.95,1.39,0.72,8.92,6.4,134.94,7.52,30.64,1.11,42.17,25233,0.13,115.3809,5.98,cl-6-20
cl,6,20,34,42.69,0.81,141.94,132.44,120.89,0.86,0.98,1.07,7.37,9.11,1,1,9.04,9.04,129.63,10.2,36.17,1.52,5.99,32407,0.19,209.807,7.46,cl-6-20
cl,6,20,35,23.75,0.96,140.44,136.12,132.69,0.8,0.95,1.28,5.5,6.33,1.21,0.83,7.78,6.44,135.55,6.8,28.43,1.11,32.53,22230,0.13,87.04429,5.8,cl-6-20
cl,6,20,36,24.59,0.47,176.3,159.81,158.81,0.35,0.45,4.95,5.6,9.31,13.46,0.07,26.28,1.95,161.18,11.71,56.46,1.58,27.17,27078,0.4,91.72258,6.16,cl-6-20
cl,6,20,37,21.66,0.48,174.19,160.93,159.57,0.36,0.42,5.63,5.25,9.51,15.64,0.06,27.12,1.73,162.04,12.65,57.7,1.59,27.48,24954,0.45,75.8208,6.07,cl-6-20
cl,6,20,38,28.65,0.93,117.6,133.2,140.05,0.78,0.92,1.82,6.04,7.64,3.44,0.29,14.01,4.08,133.49,8.62,36.17,1.21,39.61,24963,0.21,115.3809,6.9,cl-6-20
cl,6,20,39,22.91,0.89,132.74,138.91,143.38,0.92,0.99,1.02,5.4,5.73,1,1,6.25,6.25,139.51,6.27,24.98,1.05,30.06,22322,0.06,82.47342,5.04,cl-6-20
cl,6,20,40,42.23,0.97,136.61,140.59,144.57,0.94,1,1.02,7.33,7.62,1,1,7.78,7.78,141.07,7.73,31.1,1.05,22.99,34985,0.04,206.4514,7.41,cl-6-20
cl,6,20,41,36.58,0.91,137.21,144.8,141.35,0.92,0.99,1.07,6.82,7.25,1,1,7.58,7.58,142.39,7.73,30.32,1.06,29.71,31754,0.06,166.4421,6.79,cl-6-20
cl,6,20,42,22.91,0.89,143.98,138.91,138.81,0.9,0.99,1.04,5.4,5.76,1,1,6.33,6.33,139.12,6.48,25.31,1.06,23.33,22259,0.06,82.47342,5.25,cl-6-20
cl,6,20,43,24.59,0.78,150.61,147.98,143.83,0.81,0.94,1.38,5.6,6.45,1.79,0.56,9.57,5.36,147.04,7.32,29.86,1.14,39.29,24703,0.13,91.72258,5.31,cl-6-20
cl,6,20,44,32.58,0.94,129.02,144.72,147.6,0.76,0.91,2.09,6.44,8,4.33,0.23,16.46,3.8,143.78,8.92,40.53,1.3,38.69,29475,0.19,139.9175,7.44,cl-6-20
cl,6,20,45,20.01,0.84,174.17,172,163.73,0.56,0.84,2,5.05,6.12,4.05,0.25,13.43,3.32,169.73,7.32,33.5,1.32,28.99,24781,0.18,67.33657,4.7,cl-6-20
cl,6,20,46,41.32,0.86,115.85,122.26,126.43,0.83,0.96,1.45,7.25,8.7,2.06,0.49,12.76,6.2,122.77,9.68,37.92,1.35,43.31,29955,0.17,199.8081,7.67,cl-6-20
cl,6,20,47,35.69,0.81,145.25,146.64,139.8,0.86,0.98,1.12,6.74,7.23,1,1,7.66,7.66,144.17,8.15,30.64,1.08,20.78,31573,0.07,160.3796,6.23,cl-6-20
cl,6,20,48,26.93,0.82,122.83,125.51,121.56,0.77,0.93,1.85,5.86,7.68,3.51,0.28,14.2,4.04,124.03,9.25,36.49,1.38,36.84,22201,0.24,105.1335,6.29,cl-6-20
cl,6,20,49,19.81,0.96,131.77,131.21,125.59,0.93,1,1.01,5.02,5.38,1,1,5.94,5.94,128.23,6.03,23.74,1.05,28.82,18593,0.07,66.30745,4.7,cl-6-20
cl,6,20,50,28.01,0.93,123.28,131.24,138.08,0.83,0.97,1.33,5.97,6.65,1.52,0.66,9.24,6.08,132.38,7.18,30.64,1.14,44.72,24357,0.1,111.49,6.27,cl-6-20
cl,6,20,51,43.14,0.69,167.99,153.91,152.54,0.69,0.87,1.68,7.41,9.2,2.95,0.34,15.32,5.2,154.79,11.43,41.05,1.32,25.77,39006,0.19,213.1852,6.78,cl-6-20
cl,6,20,52,37.03,0.94,131.66,134.32,137.16,0.87,0.98,1.17,6.87,7.74,1,1,8.1,8.1,134.85,8.23,32.4,1.24,43.08,30342,0.11,169.5089,7.36,cl-6-20
cl,6,20,53,21.04,0.85,133.82,125.64,118.43,0.88,0.98,1.02,5.18,6.3,1,1,6.68,6.68,124.4,6.99,26.74,1.43,6.62,18784,0.18,72.58714,5.25,cl-6-20
cl,6,20,54,22.7,0.93,149.43,142.26,136.89,0.89,0.99,1.05,5.38,5.74,1,1,6.33,6.33,141.19,6.03,25.31,1.06,16.64,22450,0.06,81.34761,5.25,cl-6-20
cl,6,20,55,29.52,0.91,138.61,136.85,136.43,0.92,0.99,1.01,6.13,6.46,1,1,6.8,6.8,136.59,6.8,27.19,1.05,25.69,26089,0.05,120.6579,5.8,cl-6-20
cl,6,20,56,25.86,0.98,139.3,136.8,136.72,0.86,0.99,1.17,5.74,6.42,1,1,6.99,6.99,137.07,7.26,27.97,1.08,27.22,23851,0.11,98.9392,5.8,cl-6-20
cl,6,20,57,44.06,0.84,109.43,122.11,118.3,0.89,0.99,1.05,7.49,7.88,1,1,8.02,8.02,119.52,8.96,32.07,1.05,34.73,30598,0.05,220.0088,6.91,cl-6-20
cl,6,20,58,28.87,0.81,136.2,145.41,147.99,0.79,0.95,1.3,6.06,6.9,1.35,0.74,8.79,6.53,145.12,7.51,30.64,1.11,40.1,27282,0.12,116.6906,5.54,cl-6-20
cl,6,20,59,29.09,0.89,137.96,138.39,137.02,0.8,0.95,1.66,6.09,7.11,2.88,0.35,12.89,4.48,137.62,7.61,34.74,1.22,38.75,26010,0.14,118.0067,6.79,cl-6-20
cl,6,20,60,42.23,0.89,150.23,159.38,152.35,0.82,0.97,1.3,7.33,8.21,1.35,0.74,10.1,7.5,156.04,9.07,35.2,1.11,43.29,38698,0.11,206.4514,7.44,cl-6-20
cl,6,20,61,24.38,0.95,132.48,135.35,138.02,0.84,0.98,1.22,5.57,6.31,1,1,6.99,6.99,135.48,7.06,27.97,1.09,33.54,22625,0.12,90.543,5.49,cl-6-20
cl,6,20,62,44.29,0.96,124.39,138.12,134.85,0.83,0.98,1.25,7.51,8.36,1,1,8.77,8.77,135.09,9.72,35.06,1.09,43.32,34717,0.1,221.7287,7.46,cl-6-20
cl,6,20,63,54.05,0.97,101.98,81.37,72.48,0.94,1,1.04,8.3,8.61,1,1,8.64,8.64,81.05,8.92,34.55,1.05,29.27,24233,0.04,298.8846,8.23,cl-6-20
cl,6,20,64,39.96,0.96,113.54,127.87,129.33,0.94,1,1.01,7.13,7.41,1,1,7.58,7.58,126.37,7.73,30.32,1.05,40.38,30076,0.04,190.0144,6.91,cl-6-20
cl,6,20,65,30.83,0.95,140.93,132.83,130.18,0.91,0.99,1.15,6.27,6.77,1,1,7.38,7.38,132.95,7.61,29.54,1.09,5.11,26192,0.08,128.7626,6.27,cl-6-20
cl,6,20,66,31.92,0.78,123.03,132.71,128.08,0.85,0.97,1.04,6.38,6.79,1,1,7.11,7.11,129.6,7.86,28.43,1.05,33.38,26180,0.06,135.6881,5.72,cl-6-20
cl,6,20,67,21.45,0.93,147.26,144.02,141.34,0.84,0.96,1.22,5.23,5.93,1,1,6.68,6.68,143.24,6.35,26.74,1.09,36.95,21915,0.12,74.73601,5.51,cl-6-20
cl,6,20,68,24.59,0.89,121.1,129.84,127.42,0.87,0.98,1.12,5.6,6.15,1,1,6.72,6.72,128.11,6.64,26.87,1.07,37.82,21523,0.09,91.72258,5.4,cl-6-20
cl,6,20,69,20.22,0.9,150.57,146.91,143.03,0.84,0.97,1.25,5.07,5.84,1,1,6.64,6.64,145.78,6.37,26.55,1.1,25.15,21430,0.13,68.37271,5.36,cl-6-20
cl,6,20,70,26.72,0.85,140.66,135.69,130.63,0.88,0.98,1.08,5.83,7.24,1,1,7.53,7.53,134.69,8.15,30.13,1.62,13.59,23975,0.19,103.8816,6.4,cl-6-20
cl,6,20,71,30.83,0.92,135.35,143.12,141.17,0.93,1,1,6.27,6.52,1,1,6.83,6.83,140.86,6.8,27.33,1.04,25.48,27750,0.04,128.7626,5.88,cl-6-20
cl,6,20,72,32.36,0.95,139.32,148,145.88,0.92,1,1.02,6.42,6.77,1,1,7.07,7.07,146.36,7.21,28.3,1.05,30.56,29857,0.05,138.5016,6.35,cl-6-20
cl,6,20,73,67.13,0.58,152.48,148.8,151.55,0.33,0.61,4.03,9.25,12.63,10.58,0.09,33.82,3.2,150.03,15.39,74.03,1.6,20.05,53111,0.27,413.7563,9.12,cl-6-20
cl,6,20,74,31.05,0.93,122.28,127.43,126.13,0.93,1,1,6.29,6.59,1,1,6.88,6.88,125.77,7.12,27.52,1.04,39.05,24903,0.05,130.1353,5.8,cl-6-20
cl,6,20,75,60.43,0.85,146.78,141.43,129.32,0.87,0.98,1.08,8.77,10.49,1,1,10.25,10.25,138.02,11.51,40.99,1.62,14.95,44996,0.16,353.3804,8.98,cl-6-20
cl,6,20,76,21.45,0.82,145.94,150.71,147.65,0.74,0.92,1.36,5.23,6.19,1.7,0.59,8.9,5.25,148.54,7.21,28.3,1.12,33.92,22726,0.16,74.73601,5.1,cl-6-20
cl,6,20,77,34.58,0.92,150.55,140.96,137.44,0.92,0.99,1.04,6.63,7.67,1,1,7.82,7.82,141,8.34,31.29,1.39,9.2,30173,0.13,152.9358,6.91,cl-6-20
cl,6,20,78,33.69,0.85,157.08,159.75,156.84,0.88,0.98,1.03,6.55,6.94,1,1,7.19,7.19,158.54,7.71,28.76,1.05,22.35,33293,0.06,147.0892,5.8,cl-6-20
cl,6,20,79,42,0.87,148.58,149.46,145.59,0.9,0.99,1.02,7.31,7.66,1,1,7.78,7.78,147.19,8.34,31.1,1.04,24.97,36357,0.05,204.7821,6.66,cl-6-20
cl,6,20,80,391.07,0.63,111.53,122.31,125.23,0.32,0.77,3.22,22.31,27.68,8,0.13,63.03,7.88,121.67,33.06,141.82,1.78,35.1,192476,0.19,5817.661,22.24,cl-6-20
cl,6,20,81,57.58,0.7,98.43,108.33,108.07,0.74,0.92,1.67,8.56,10.3,2.89,0.35,16.9,5.84,106.89,12.15,45.47,1.32,34.73,33563,0.17,328.7003,7.8,cl-6-20
cl,6,20,82,20.83,0.91,151.89,144.58,137.42,0.93,1,1,5.15,5.4,1,1,5.94,5.94,142.97,5.76,23.74,1.05,22.76,21445,0.05,71.52309,4.7,cl-6-20
cl,6,20,83,29.3,0.92,133.45,136.42,133.2,0.91,0.99,1.07,6.11,6.51,1,1,6.99,6.99,134.49,7.12,27.97,1.07,31.39,25554,0.06,119.3291,6.11,cl-6-20
cl,6,20,84,30.17,0.98,139.98,136.7,140.01,0.94,1,1.03,6.2,6.54,1,1,6.91,6.91,138.05,6.8,27.65,1.05,10.22,26781,0.05,124.682,6.27,cl-6-20
cl,6,20,85,61.38,0.84,142.2,142.66,144.03,0.87,0.98,1.12,8.84,9.39,1,1,9.43,9.43,142.4,10.13,37.73,1.07,7.21,46992,0.06,361.7682,8.31,cl-6-20
cl,6,20,86,57.35,0.83,137.84,152.5,150.47,0.87,0.98,1.03,8.54,8.9,1,1,8.8,8.8,150.2,9.88,35.2,1.04,30.69,47012,0.04,326.6766,7.46,cl-6-20
cl,6,20,87,40.19,0.92,140.3,147.84,144.55,0.93,1,1.05,7.15,7.49,1,1,7.78,7.78,145.18,7.9,31.1,1.06,37.41,34699,0.05,191.6324,7.01,cl-6-20
cl,6,20,88,25.22,0.95,123.92,132.33,130.41,0.93,1,1.04,5.67,6,1,1,6.52,6.52,130.37,6.35,26.09,1.06,33.24,22294,0.06,95.30118,5.72,cl-6-20
cl,6,20,89,55.93,0.95,130.94,136.04,136.93,0.93,1,1.05,8.44,8.78,1,1,8.8,8.8,135.36,9.11,35.2,1.06,23.75,41555,0.04,314.642,8.48,cl-6-20
cl,6,20,90,45.9,0.96,134.38,138.86,138.41,0.93,1,1.04,7.64,7.95,1,1,8.13,8.13,138.23,8.25,32.53,1.06,22.55,36494,0.04,233.9235,7.46,cl-6-20
cl,6,20,91,25.01,0.84,162.35,161.09,154.72,0.84,0.97,1.3,5.64,6.84,1.35,0.74,8.79,6.53,159.32,7.61,30.64,1.48,20.97,27084,0.18,94.10169,5.95,cl-6-20
